row_number,variable_name,issue_type,current_value,details,missing_category
111,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
112,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
115,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
116,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
118,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
119,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
120,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
1,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
2,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
3,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
4,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
5,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
6,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
7,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
10,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
11,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
16,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
17,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
18,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
19,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
20,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
22,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
28,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
29,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
30,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
32,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
34,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
36,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
37,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
38,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
39,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
40,TypeOfProblemFaceWhileWashingAndDryingCloth,Missing Value,NaN,"Missing value in column ""TypeOfProblemFaceWhileWashingAndDryingCloth""",conditional
